Gene_id	Description
ofav9887	Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1 E(blastx)=6e-20
ofav78410	Fidgetin-like protein 1 OS=Xenopus tropicalis GN=fignl1 PE=2 SV=1 E(blastx)=6e-128
ofav158382	Heat shock 70 kDa protein OS=Hydra vulgaris GN=HSP70.1 PE=3 SV=1 E(blastx)=2e-11
ofav41417	LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1 E(blastx)=7e-30
ofav158272	Helicase-like transcription factor OS=Homo sapiens GN=HLTF PE=1 SV=2 E(blastx)=4e-07
ofav151711	Histone-lysine N-methyltransferase setd3 OS=Mus musculus GN=Setd3 PE=1 SV=1 E(blastx)=1e-14
ofav43915	Chromobox protein homolog 8 OS=Mus musculus GN=Cbx8 PE=1 SV=1 E(blastx)=7e-18
ofav30333	Steroid 17-alpha-hydroxylase/17,20 lyase OS=Squalus acanthias GN=CYP17A1 PE=2 SV=1 E(blastx)=2e-107
ofav40401	Carbohydrate-responsive element-binding protein OS=Mus musculus GN=Mlxipl PE=1 SV=1 E(blastx)=6e-65
ofav18264	PDZ domain-containing protein 8 OS=Homo sapiens GN=PDZD8 PE=1 SV=1 E(blastx)=4e-11
ofav26258	Neural Wiskott-Aldrich syndrome protein OS=Mus musculus GN=Wasl PE=1 SV=1 E(blastx)=8e-178
ofav136454	Negative elongation factor D OS=Pongo abelii GN=NELFCD PE=2 SV=1 E(blastx)=3e-32
ofav23076	Glucose-repressible alcohol dehydrogenase transcriptional effector OS=Yarrowia lipolytica (strain CLIB 122 / E 150) GN=CCR4 PE=3 SV=1 E(blastx)=2e-29
ofav75370	Conserved oligomeric Golgi complex subunit 8 OS=Mus musculus GN=Cog8 PE=1 SV=3 E(blastx)=8e-42
ofav119645	Solute carrier family 23 member 2 OS=Rattus norvegicus GN=Slc23a2 PE=1 SV=2 E(blastx)=6e-10
ofav98630	Potassium voltage-gated channel subfamily C member 1 OS=Mus musculus GN=Kcnc1 PE=1 SV=1 E(blastx)=1e-17
ofav27005	Membralin OS=Homo sapiens GN=TMEM259 PE=1 SV=1 E(blastx)=8e-67
ofav64325	Zinc finger CCCH domain-containing protein 15 OS=Xenopus tropicalis GN=zc3h15 PE=2 SV=1 E(blastx)=5e-34
ofav140293	Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=2e-26
ofav59041	Small G protein signaling modulator 1 OS=Mus musculus GN=Sgsm1 PE=1 SV=2 E(blastx)=5e-15
ofav11661	Cilia- and flagella-associated protein 52 OS=Mus musculus GN=Cfap52 PE=1 SV=1 E(blastx)=7e-64
ofav16149	Transmembrane protein 87A OS=Mus musculus GN=Tmem87a PE=1 SV=1 E(blastx)=5e-42
ofav131750	WD repeat and FYVE domain-containing protein 3 OS=Homo sapiens GN=WDFY3 PE=1 SV=2 E(blastx)=1e-18
ofav84145	Polypyrimidine tract-binding protein 1 OS=Rattus norvegicus GN=Ptbp1 PE=1 SV=1 E(blastx)=4e-85
ofav32493	Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens GN=CPSF4 PE=1 SV=1 E(blastx)=1e-111
ofav33540	Cation-dependent mannose-6-phosphate receptor OS=Rattus norvegicus GN=M6pr PE=1 SV=1 E(blastx)=2e-23
ofav42686	Dystroglycan OS=Oryctolagus cuniculus GN=DAG1 PE=1 SV=1 E(blastx)=6e-16
ofav106358	Erythroid differentiation-related factor 1 OS=Pongo abelii GN=EDRF1 PE=2 SV=1 E(blastx)=7e-29
ofav52420	Liprin-alpha-2 OS=Homo sapiens GN=PPFIA2 PE=1 SV=2 E(blastx)=1e-167
ofav128973	Carcinine transporter OS=Drosophila melanogaster GN=CarT PE=2 SV=1 E(blastx)=3e-18
ofav24421	Bifunctional cytochrome P450/NADPH--P450 reductase 1 OS=Bacillus subtilis (strain 168) GN=cypD PE=1 SV=1 E(blastx)=4e-09
ofav46533	Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1 E(blastx)=1e-138
ofav138364	Adenosine 3'-phospho 5'-phosphosulfate transporter 2 OS=Homo sapiens GN=SLC35B3 PE=1 SV=1 E(blastx)=9e-38
ofav45024	Hematopoietic prostaglandin D synthase OS=Gallus gallus GN=HPGDS PE=1 SV=3 E(blastx)=8e-24
ofav72547	Ufm1-specific protease 2 OS=Gallus gallus GN=UFSP2 PE=2 SV=1 E(blastx)=4e-10
ofav58315	Mothers against decapentaplegic homolog 4 OS=Mus musculus GN=Smad4 PE=1 SV=2 E(blastx)=3e-30
ofav24835	Vascular endothelial growth factor receptor 2 OS=Mus musculus GN=Kdr PE=1 SV=1 E(blastx)=5e-06
ofav35218	GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b PE=1 SV=2 E(blastx)=2e-111
ofav30934	Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 E(blastx)=1e-38
ofav9670	Monocarboxylate transporter 12 OS=Xenopus laevis GN=slc16a12 PE=2 SV=1 E(blastx)=1e-17
ofav8951	Hamartin OS=Rattus norvegicus GN=Tsc1 PE=1 SV=1 E(blastx)=3e-15
ofav129411	DIS3-like exonuclease 1 OS=Pongo abelii GN=DIS3L PE=2 SV=1 E(blastx)=6e-25
ofav64671	DnaJ homolog subfamily C member 27 OS=Danio rerio GN=dnajc27 PE=2 SV=1 E(blastx)=2e-56
ofav90019	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 OS=Drosophila melanogaster GN=Pde11 PE=1 SV=4 E(blastx)=4e-21
ofav63209	COMM domain-containing protein 2 OS=Mus musculus GN=Commd2 PE=1 SV=1 E(blastx)=4e-113
ofav109672	Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=2 E(blastx)=4e-24
ofav46730	Tumor necrosis factor alpha-induced protein 3 OS=Homo sapiens GN=TNFAIP3 PE=1 SV=1 E(blastx)=1e-62
ofav42570	Intraflagellar transport protein 46 homolog OS=Danio rerio GN=ift46 PE=2 SV=2 E(blastx)=2e-118
ofav60184	Calcium uniporter protein, mitochondrial OS=Mus musculus GN=Mcu PE=1 SV=2 E(blastx)=9e-173
ofav7699	Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1 E(blastx)=2e-14
ofav60985	Pre-mRNA-splicing factor CWC22 homolog OS=Xenopus laevis GN=cwc22 PE=2 SV=1 E(blastx)=2e-49
ofav45523	Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1 PE=1 SV=2 E(blastx)=5e-74
ofav64427	Differentially expressed in FDCP 8 homolog OS=Homo sapiens GN=DEF8 PE=1 SV=2 E(blastx)=1e-75
ofav18632	Protein GDAP2 homolog OS=Nematostella vectensis GN=gdap2 PE=3 SV=1 E(blastx)=2e-41
ofav44403	Isocitrate lyase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=aceA PE=3 SV=1 E(blastx)=2e-154
ofav45230	La-related protein 1 OS=Mus musculus GN=Larp1 PE=1 SV=3 E(blastx)=1e-99
ofav84567	Telomerase-binding protein EST1A OS=Mus musculus GN=Smg6 PE=1 SV=1 E(blastx)=1e-73
ofav35408	SH3 and PX domain-containing protein 2A OS=Danio rerio GN=sh3pxd2a PE=3 SV=2 E(blastx)=3e-14
ofav27309	SPRY domain-containing protein 7 OS=Homo sapiens GN=SPRYD7 PE=1 SV=2 E(blastx)=6e-68
ofav40671	Protein polyglycylase TTLL10 OS=Rattus norvegicus GN=Ttll10 PE=2 SV=2 E(blastx)=3e-69
ofav119106	G patch domain and ankyrin repeat-containing protein 1 homolog OS=Drosophila melanogaster GN=CG8152 PE=2 SV=1 E(blastx)=2e-14
ofav12957	Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2 E(blastx)=4e-37
ofav87862	Coiled-coil domain-containing protein 180 OS=Homo sapiens GN=CCDC180 PE=2 SV=2 E(blastx)=7e-05
ofav80261	FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Mus musculus GN=Farp1 PE=1 SV=1 E(blastx)=9e-110
ofav159377	Transmembrane 9 superfamily member 2 OS=Mus musculus GN=Tm9sf2 PE=1 SV=1 E(blastx)=8e-32
ofav4311	Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=2 E(blastx)=5e-14
ofav38171	ATP synthase F(0) complex subunit B1, mitochondrial OS=Bos taurus GN=ATP5F1 PE=1 SV=2 E(blastx)=1e-35
ofav30211	Unconventional myosin-Va OS=Gallus gallus GN=MYO5A PE=1 SV=1 E(blastx)=9e-123
ofav138628	ATPase family AAA domain-containing protein 2B OS=Homo sapiens GN=ATAD2B PE=1 SV=3 E(blastx)=9e-27
ofav58878	Muscle M-line assembly protein unc-89 OS=Caenorhabditis elegans GN=unc-89 PE=1 SV=3 E(blastx)=3e-16
ofav20057	Craniofacial development protein 1 OS=Mus musculus GN=Cfdp1 PE=1 SV=1 E(blastx)=1e-157
ofav137344	Probable cation-transporting ATPase 13A3 OS=Mus musculus GN=Atp13a3 PE=1 SV=1 E(blastx)=7e-06
ofav133660	Choline transporter-like protein 2 OS=Mus musculus GN=Slc44a2 PE=1 SV=2 E(blastx)=9e-53
ofav40842	Basic leucine zipper and W2 domain-containing protein 2 OS=Mus musculus molossinus GN=Bzw2 PE=2 SV=1 E(blastx)=2e-167
ofav107017	Glycerophosphodiester phosphodiesterase 1 OS=Bos taurus GN=GDE1 PE=2 SV=1 E(blastx)=7e-08
ofav9287	Solute carrier family 26 member 6 OS=Mus musculus GN=Slc26a6 PE=1 SV=2 E(blastx)=3e-60
ofav54734	Protein REDUCED WALL ACETYLATION 2 OS=Arabidopsis thaliana GN=RWA2 PE=1 SV=1 E(blastx)=1e-28
ofav45095	Golgi integral membrane protein 4 OS=Xenopus tropicalis GN=golim4 PE=2 SV=2 E(blastx)=5e-18
ofav18236	E3 ubiquitin-protein ligase ZNRF2 OS=Mus musculus GN=Znrf2 PE=1 SV=1 E(blastx)=3e-53
ofav111934	Matrix metalloproteinase-19 OS=Homo sapiens GN=MMP19 PE=1 SV=1 E(blastx)=3e-13
ofav124416	Testis-expressed protein 2 OS=Homo sapiens GN=TEX2 PE=1 SV=2 E(blastx)=3e-16
ofav110485	Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3 E(blastx)=2e-38
ofav102539	Extracellular sulfatase Sulf-2 OS=Mus musculus GN=Sulf2 PE=2 SV=2 E(blastx)=9e-28
ofav13621	Anoctamin-4 OS=Mus musculus GN=Ano4 PE=2 SV=2 E(blastx)=9e-98
ofav3083	Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2 E(blastx)=1e-26
ofav37721	Thioredoxin-like protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=txl1 PE=4 SV=1 E(blastx)=7e-48
ofav40263	Ubiquitin-conjugating enzyme E2 Z OS=Xenopus laevis GN=ube2z PE=2 SV=2 E(blastx)=2e-67
ofav42636	YTH domain-containing protein 1 OS=Homo sapiens GN=YTHDC1 PE=1 SV=3 E(blastx)=4e-65
ofav107402	Cytochrome c oxidase subunit 1 OS=Lumbricus terrestris GN=COI PE=3 SV=1 E(blastx)=3e-20
ofav17333	Protein bark beetle OS=Drosophila melanogaster GN=bark PE=1 SV=1 E(blastx)=9e-08
ofav25458	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Gorilla gorilla gorilla GN=NDUFB9 PE=2 SV=3 E(blastx)=7e-21
ofav78648	eIF-2-alpha kinase activator GCN1 OS=Dictyostelium discoideum GN=gcn1 PE=3 SV=1 E(blastx)=5e-115
ofav22908	Protein FAM184A OS=Homo sapiens GN=FAM184A PE=2 SV=3 E(blastx)=2e-07
ofav61503	WD repeat-containing protein 35 OS=Homo sapiens GN=WDR35 PE=1 SV=3 E(blastx)=6e-168
ofav8281	Calmodulin-regulated spectrin-associated protein 1 OS=Xenopus laevis GN=camsap1 PE=2 SV=1 E(blastx)=4e-16
ofav115557	Cytosolic carboxypeptidase 6 OS=Mus musculus GN=Agbl4 PE=1 SV=1 E(blastx)=7e-103
ofav34773	Lissencephaly-1 homolog OS=Trichoplax adhaerens GN=TRIADDRAFT_50647 PE=3 SV=1 E(blastx)=8e-13
ofav42337	ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1 E(blastx)=2e-30
ofav91211	Liprin-alpha-3 OS=Rattus norvegicus GN=Ppfia3 PE=1 SV=2 E(blastx)=1e-12
ofav46849	Protein DDB_G0287365 OS=Dictyostelium discoideum GN=DDB_G0287365 PE=3 SV=1 E(blastx)=2e-46
ofav34630	RIMS-binding protein 2 OS=Mus musculus GN=Rimbp2 PE=1 SV=3 E(blastx)=1e-22
ofav76645	Protein fantom OS=Homo sapiens GN=RPGRIP1L PE=1 SV=2 E(blastx)=3e-50
ofav28145	Transmembrane emp24 domain-containing protein eca OS=Drosophila grimshawi GN=eca PE=3 SV=1 E(blastx)=4e-42
ofav38984	Golgin subfamily A member 5 OS=Xenopus laevis GN=golga5 PE=2 SV=1 E(blastx)=3e-47
ofav8121	Mitofusin-2 OS=Mus musculus GN=Mfn2 PE=1 SV=3 E(blastx)=9e-120
ofav134448	Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus GN=Pnkp PE=1 SV=2 E(blastx)=1e-26
ofav20161	Protein KIAA0556 OS=Mus musculus GN=Kiaa0556 PE=1 SV=2 E(blastx)=8e-09
ofav8495	Cilia- and flagella-associated protein 74 OS=Mus musculus GN=Cfap74 PE=2 SV=3 E(blastx)=2e-55
ofav44179	Glutathione S-transferase OS=Blattella germanica PE=1 SV=3 E(blastx)=2e-23
ofav43761	Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2 E(blastx)=7e-89
ofav25734	Serine/threonine-protein kinase 16 OS=Rattus norvegicus GN=Stk16 PE=2 SV=2 E(blastx)=1e-69
ofav53421	Sterol regulatory element-binding protein cleavage-activating protein OS=Sus scrofa GN=SCAP PE=2 SV=2 E(blastx)=5e-41
ofav15301	Adenylate cyclase type 3 OS=Rattus norvegicus GN=Adcy3 PE=1 SV=1 E(blastx)=1e-19
ofav127583	Probable chitinase 10 OS=Drosophila melanogaster GN=Cht10 PE=2 SV=2 E(blastx)=5e-09
ofav11334	Nucleolar protein 4-like OS=Homo sapiens GN=NOL4L PE=1 SV=2 E(blastx)=7e-32
ofav46019	Presenilin-1 OS=Danio rerio GN=psen1 PE=1 SV=1 E(blastx)=5e-121
ofav31899	Gamma-1-syntrophin OS=Homo sapiens GN=SNTG1 PE=1 SV=1 E(blastx)=8e-45
ofav21477	Inactive phospholipase C-like protein 1 OS=Rattus norvegicus GN=Plcl1 PE=1 SV=1 E(blastx)=5e-50
ofav89901	Very-long-chain enoyl-CoA reductase OS=Dictyostelium discoideum GN=gpsn2 PE=3 SV=1 E(blastx)=1e-20
ofav61026	Myotrophin OS=Gallus gallus GN=MTPN PE=3 SV=1 E(blastx)=1e-13
ofav51902	Leucine-rich repeats and immunoglobulin-like domains protein 2 OS=Homo sapiens GN=LRIG2 PE=2 SV=3 E(blastx)=2e-26
ofav60617	Serine/threonine-protein kinase Sgk3 OS=Mus musculus GN=Sgk3 PE=1 SV=1 E(blastx)=9e-24
ofav17715	Furin OS=Rattus norvegicus GN=Furin PE=1 SV=1 E(blastx)=3e-17
ofav20534	Hydroxyethylthiazole kinase OS=Desulfotalea psychrophila (strain LSv54 / DSM 12343) GN=thiM PE=3 SV=2 E(blastx)=6e-47
ofav8713	Fibroblast growth factor 1 OS=Mesocricetus auratus GN=FGF1 PE=2 SV=1 E(blastx)=7e-14
ofav49321	CDGSH iron-sulfur domain-containing protein 2 OS=Lithobates catesbeiana GN=cisd2 PE=2 SV=1 E(blastx)=3e-22
ofav70783	Protein kinase C and casein kinase substrate in neurons protein 2 OS=Xenopus laevis GN=pacsin2 PE=2 SV=1 E(blastx)=2e-19
ofav97557	Heart- and neural crest derivatives-expressed protein 2 OS=Gallus gallus GN=HAND2 PE=2 SV=1 E(blastx)=5e-32
ofav112030	Host cell factor 1 OS=Mesocricetus auratus GN=HCFC1 PE=1 SV=1 E(blastx)=2e-56
ofav63812	Dynein heavy chain 17, axonemal OS=Mus musculus GN=Dnah17 PE=1 SV=2 E(blastx)=3e-33
ofav106931	Homeobox protein OTX1 OS=Rattus norvegicus GN=Otx1 PE=2 SV=1 E(blastx)=4e-05
ofav36699	E3 ubiquitin-protein ligase RNF126-B OS=Xenopus laevis GN=rnf126-b PE=2 SV=1 E(blastx)=5e-47
ofav16726	Cleavage and polyadenylation specificity factor subunit 1 OS=Mus musculus GN=Cpsf1 PE=1 SV=1 E(blastx)=6e-123
ofav16920	Integrin beta-like protein D OS=Dictyostelium discoideum GN=sibD PE=1 SV=1 E(blastx)=3e-08
ofav33467	Small G protein signaling modulator 2 OS=Mus musculus GN=Sgsm2 PE=1 SV=2 E(blastx)=3e-133
ofav46643	Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1 E(blastx)=2e-44
ofav13268	Protein mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=1 SV=1 E(blastx)=4e-61
ofav97855	H(+)/Cl(-) exchange transporter 7 OS=Mus musculus GN=Clcn7 PE=1 SV=1 E(blastx)=1e-40
ofav46091	V-type proton ATPase subunit G OS=Manduca sexta PE=3 SV=1 E(blastx)=9e-33
ofav14160	Voltage-dependent T-type calcium channel subunit alpha-1H OS=Mus musculus GN=Cacna1h PE=1 SV=3 E(blastx)=1e-110
ofav78665	F-box/WD repeat-containing protein 9 OS=Bos taurus GN=FBXW9 PE=2 SV=1 E(blastx)=8e-32
ofav4437	Zinc transporter 4 OS=Mus musculus GN=Slc30a4 PE=1 SV=2 E(blastx)=1e-128
ofav61573	THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2 E(blastx)=4e-64
ofav40174	Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=1 SV=3 E(blastx)=4e-42
ofav59396	Pre-mRNA-processing factor 6 OS=Bos taurus GN=PRPF6 PE=2 SV=1 E(blastx)=2e-37
ofav107511	60S acidic ribosomal protein P0 OS=Gallus gallus GN=RPLP0 PE=2 SV=1 E(blastx)=5e-40
ofav117033	Copine-5 OS=Mus musculus GN=Cpne5 PE=1 SV=1 E(blastx)=3e-88
ofav46789	UPF0577 protein KIAA1324 OS=Mus musculus GN=Kiaa1324 PE=1 SV=1 E(blastx)=4e-85
ofav81415	Exportin-2 OS=Pongo abelii GN=CSE1L PE=2 SV=1 E(blastx)=7e-27
ofav8751	Ras-related protein Rab-44 OS=Mus musculus GN=Rab44 PE=1 SV=1 E(blastx)=9e-10
ofav57340	Thioredoxin domain-containing protein 3 homolog OS=Ciona intestinalis GN=CiIC3 PE=2 SV=1 E(blastx)=3e-36
ofav58335	Manganese-transporting ATPase 13A1 OS=Homo sapiens GN=ATP13A1 PE=1 SV=2 E(blastx)=7e-122
ofav35437	Disco-interacting protein 2 homolog B-A OS=Danio rerio GN=dip2ba PE=2 SV=1 E(blastx)=2e-57
ofav11415	Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2 E(blastx)=6e-25
ofav25857	Zinc finger protein with KRAB and SCAN domains 1 OS=Homo sapiens GN=ZKSCAN1 PE=1 SV=3 E(blastx)=9e-48
ofav77245	Coiled-coil domain-containing protein 171 OS=Homo sapiens GN=CCDC171 PE=2 SV=1 E(blastx)=2e-22
ofav68360	Tctex1 domain-containing protein 1 OS=Danio rerio GN=tctex1d1 PE=2 SV=1 E(blastx)=5e-15
ofav8944	Allantoicase OS=Xenopus laevis GN=allc PE=2 SV=1 E(blastx)=1e-134
ofav71437	Conserved oligomeric Golgi complex subunit 2 OS=Mus musculus GN=Cog2 PE=1 SV=2 E(blastx)=1e-11
ofav39793	Centrosomal protein of 41 kDa B OS=Xenopus laevis GN=cep41-b PE=2 SV=1 E(blastx)=1e-73
ofav25891	Glycoprotein hormone beta-5 OS=Mus musculus GN=Gphb5 PE=2 SV=1 E(blastx)=3e-10
ofav42119	Fatty acyl-CoA reductase 1 OS=Pongo abelii GN=FAR1 PE=2 SV=1 E(blastx)=5e-163
ofav82161	Nucleoside diphosphate-linked moiety X motif 8 OS=Mus musculus GN=Nudt8 PE=1 SV=1 E(blastx)=6e-11
ofav111733	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1 E(blastx)=6e-17
ofav42550	Inverted formin-2 OS=Xenopus laevis GN=inf2 PE=2 SV=1 E(blastx)=2e-84
ofav37396	Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1 E(blastx)=5e-106
ofav45827	DNA damage-regulated autophagy modulator protein 2 OS=Rattus norvegicus GN=Dram2 PE=2 SV=1 E(blastx)=4e-28
ofav14198	EH domain-binding protein 1-like protein 1 OS=Homo sapiens GN=EHBP1L1 PE=1 SV=2 E(blastx)=5e-09
ofav135007	Headcase protein homolog OS=Homo sapiens GN=HECA PE=1 SV=1 E(blastx)=8e-55
ofav40158	RILP-like protein 1 OS=Rattus norvegicus GN=Rilpl1 PE=1 SV=1 E(blastx)=3e-24
ofav25706	Cilia- and flagella-associated protein 97 OS=Xenopus tropicalis GN=cfap97 PE=2 SV=1 E(blastx)=7e-11
ofav46528	Protein sidekick-2 OS=Mus musculus GN=Sdk2 PE=1 SV=1 E(blastx)=2e-10
ofav21232	tRNA-splicing ligase RtcB homolog OS=Danio rerio GN=rtcb PE=2 SV=1 E(blastx)=2e-125
ofav43692	C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2 E(blastx)=2e-17
ofav34840	Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Danio rerio GN=ergic1 PE=2 SV=1 E(blastx)=2e-136
ofav57985	Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3 E(blastx)=2e-33
ofav4456	Ribonucleoprotein PTB-binding 2 OS=Homo sapiens GN=RAVER2 PE=1 SV=2 E(blastx)=1e-12
ofav90652	Pseudouridylate synthase 7 homolog OS=Bos taurus GN=PUS7 PE=2 SV=1 E(blastx)=4e-62
ofav23948	Mediator of RNA polymerase II transcription subunit 30 OS=Drosophila pseudoobscura pseudoobscura GN=MED30 PE=3 SV=2 E(blastx)=2e-12
ofav78319	NADH-ubiquinone oxidoreductase chain 2 OS=Metridium senile GN=ND2 PE=3 SV=1 E(blastx)=1e-13
ofav9002	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta egl-8 OS=Caenorhabditis elegans GN=egl-8 PE=1 SV=1 E(blastx)=1e-20
ofav76894	WD repeat-containing protein slp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=slp1 PE=1 SV=1 E(blastx)=1e-18
ofav21077	Enkurin domain-containing protein 1 OS=Homo sapiens GN=ENKD1 PE=1 SV=1 E(blastx)=2e-05
ofav45724	Interferon-related developmental regulator 1 OS=Sus scrofa GN=IFRD1 PE=2 SV=1 E(blastx)=1e-95
ofav101237	Coiled-coil domain-containing protein 33 OS=Rattus norvegicus GN=Ccdc33 PE=2 SV=1 E(blastx)=1e-05
ofav75871	Serine/threonine-protein kinase mTOR OS=Homo sapiens GN=MTOR PE=1 SV=1 E(blastx)=2e-75
ofav109697	Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens GN=P4HA2 PE=1 SV=1 E(blastx)=5e-09
ofav33985	Zinc finger protein 709 OS=Homo sapiens GN=ZNF709 PE=2 SV=1 E(blastx)=3e-128
ofav157380	Luciferin 4-monooxygenase OS=Luciola cruciata PE=1 SV=1 E(blastx)=1e-34
ofav36894	Zinc finger CCCH domain-containing protein 14 OS=Danio rerio GN=zc3h14 PE=2 SV=1 E(blastx)=9e-41
ofav38536	Protein TBATA OS=Mus musculus GN=Tbata PE=1 SV=2 E(blastx)=4e-05
ofav45608	Adenylate kinase 2, mitochondrial OS=Danio rerio GN=ak2 PE=2 SV=1 E(blastx)=9e-113
ofav46707	CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=1 SV=3 E(blastx)=6e-38
ofav50504	Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Mus musculus GN=Scube3 PE=1 SV=1 E(blastx)=1e-05
ofav5799	CDK5 and ABL1 enzyme substrate 1 OS=Homo sapiens GN=CABLES1 PE=1 SV=2 E(blastx)=3e-69
ofav132921	Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Mus musculus GN=Pik3c3 PE=1 SV=1 E(blastx)=1e-60
ofav43424	CUB domain-containing protein 2 OS=Mus musculus GN=Cdcp2 PE=2 SV=1 E(blastx)=2e-51
ofav57857	Fibroblast growth factor receptor 1 OS=Gallus gallus GN=FGFR1 PE=2 SV=1 E(blastx)=7e-66
ofav125360	Cationic amino acid transporter 2 OS=Gallus gallus GN=SLC7A2 PE=2 SV=1 E(blastx)=8e-34
ofav36287	Serine/threonine-protein kinase 10 OS=Gallus gallus GN=STK10 PE=3 SV=2 E(blastx)=9e-134
ofav118990	Polycomb group RING finger protein 5-A OS=Danio rerio GN=pcgf5a PE=2 SV=1 E(blastx)=2e-18
ofav74158	Protein FAM92A1 OS=Homo sapiens GN=FAM92A1 PE=1 SV=2 E(blastx)=2e-18
ofav33963	CCR4-NOT transcription complex subunit 2 OS=Homo sapiens GN=CNOT2 PE=1 SV=1 E(blastx)=1e-111
ofav126070	Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4 E(blastx)=2e-29
ofav52657	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 E(blastx)=1e-66
ofav30412	Protein kinase C iota type OS=Rattus norvegicus GN=Prkci PE=1 SV=1 E(blastx)=1e-58
ofav19633	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1 E(blastx)=2e-67
ofav47286	60S ribosomal protein L36 OS=Pongo abelii GN=RPL36 PE=3 SV=3 E(blastx)=2e-61
ofav95611	E3 ubiquitin-protein ligase PDZRN3 OS=Mus musculus GN=Pdzrn3 PE=1 SV=3 E(blastx)=4e-09
ofav78556	Protein FAM207A OS=Mus musculus GN=Fam207a PE=1 SV=1 E(blastx)=1e-07
ofav61567	Thymidine kinase OS=Swinepox virus (strain Kasza) GN=TK PE=3 SV=1 E(blastx)=3e-18
ofav96175	UPF0160 protein MYG1, mitochondrial OS=Bos taurus PE=2 SV=1 E(blastx)=1e-94
ofav86428	Amine oxidase [flavin-containing] OS=Danio rerio GN=mao PE=1 SV=1 E(blastx)=9e-23
ofav104983	40S ribosomal protein S12 OS=Xenopus laevis GN=rps12 PE=2 SV=2 E(blastx)=3e-21
ofav60999	Cytochrome c oxidase assembly protein COX15 homolog OS=Mus musculus GN=Cox15 PE=1 SV=1 E(blastx)=8e-51
ofav13387	ETS domain-containing protein Elk-1 OS=Homo sapiens GN=ELK1 PE=1 SV=2 E(blastx)=5e-173
ofav46572	Major facilitator superfamily domain-containing protein 1 OS=Danio rerio GN=mfsd1 PE=2 SV=1 E(blastx)=2e-177
ofav37388	Serine/threonine-protein kinase 17A OS=Oryctolagus cuniculus GN=STK17A PE=2 SV=1 E(blastx)=4e-91
ofav50572	Hypoxia up-regulated protein 1 OS=Gallus gallus GN=HYOU1 PE=2 SV=1 E(blastx)=1e-97
